day_of_year,reservoir_storage
1,1307475.90476
2,1315656.95238
3,1319126.42857
4,1320570.7619
5,1322031.0
6,1322875.47619
7,1323993.42857
8,1324931.47619
9,1325910.0
10,1327075.71429
11,1328220.7619
12,1329302.90476
13,1330383.80952
14,1331886.7619
15,1333468.47619
16,1334349.95238
17,1335091.0
18,1336326.57143
19,1337647.71429
20,1339209.42857
21,1340804.42857
22,1342497.7619
23,1344226.61905
24,1346060.42857
25,1348701.38095
26,1351449.7619
27,1353876.04762
28,1354660.52381
29,1355259.52381
30,1404851.3
31,1356521.57143
32,1357459.57143
33,1358404.90476
34,1359970.04762
35,1361399.19048
36,1362289.09524
37,1363137.57143
38,1365050.90476
39,1366775.57143
40,1368711.42857
41,1369681.85714
42,1370669.0
43,1371563.57143
44,1372441.90476
45,1374407.85714
46,1375780.90476
47,1376713.09524
48,1377845.33333
49,1378627.38095
50,1379912.2381
51,1380827.19048
52,1411928.15
53,1383639.57143
54,1384465.57143
55,1415025.0
56,1386671.19048
57,1387688.7619
58,1389251.19048
59,1390740.95238
60,1499004.57895
61,1392710.19048
62,1394076.0
63,1395556.42857
64,1396718.2381
65,1398390.42857
66,1399876.0
67,1451641.5
68,1402140.42857
69,1403424.90476
70,1406132.7619
71,1408578.90476
72,1409975.33333
73,1411707.42857
74,1413123.80952
75,1414220.57143
76,1415153.09524
77,1416507.52381
78,1417334.90476
79,1417770.95238
80,1418713.90476
81,1419658.2381
82,1421295.57143
83,1423422.85714
84,1459119.9
85,1461138.85
86,1428767.0
87,1430164.85714
88,1431088.61905
89,1432052.85714
90,1432940.85714
91,1434241.04762
92,1434485.90476
93,1435588.52381
94,1437865.57143
95,1439201.0
96,1439631.19048
97,1439673.95238
98,1440179.28571
99,1440529.85714
100,1440659.04762
101,1440778.90476
102,1440911.71429
103,1441076.14286
104,1441342.04762
105,1441528.85714
106,1441340.71429
107,1441307.04762
108,1440976.42857
109,1440453.38095
110,1440112.90476
111,1439540.52381
112,1438957.14286
113,1438619.0
114,1437908.0
115,1437321.95238
116,1436560.19048
117,1436309.61905
118,1435962.33333
119,1436216.52381
120,1436395.85714
121,1437116.80952
122,1437735.38095
123,1437884.09524
124,1437565.04762
125,1437326.09524
126,1437402.66667
127,1437247.38095
128,1437139.2381
129,1437685.0
130,1437698.14286
131,1437727.66667
132,1437612.80952
133,1437484.47619
134,1437228.04762
135,1437312.66667
136,1438081.14286
137,1440332.52381
138,1441202.71429
139,1442288.90476
140,1443179.61905
141,1443813.90476
142,1444740.90476
143,1445242.33333
144,1445770.61905
145,1446726.90476
146,1447698.80952
147,1448450.80952
148,1449198.85714
149,1449868.09524
150,1450814.52381
151,1451430.80952
152,1452443.95238
153,1453551.28571
154,1455151.57143
155,1456694.33333
156,1458301.09524
157,1459962.42857
158,1461460.19048
159,1463047.28571
160,1464122.85714
161,1464840.7619
162,1465610.28571
163,1466697.85714
164,1466941.7619
165,1467744.57143
166,1468356.80952
167,1468604.42857
168,1469171.85714
169,1469410.2381
170,1469157.61905
171,1469028.80952
172,1468529.19048
173,1467207.14286
174,1467781.33333
175,1467094.38095
176,1466535.33333
177,1466332.0
178,1466371.80952
179,1465626.57143
180,1464889.90476
