day_of_year,reservoir_storage
1,335345.631579
2,323992.75
3,337587.428571
4,355395.05
5,343274.761905
6,345212.238095
7,358300.210526
8,359123.210526
9,322697.842105
10,353042.857143
11,355180.857143
12,357172.571429
13,346533.65
14,349182.45
15,361803.3
16,377823.315789
17,383574.85
18,369187.619048
19,379466.6
20,372451.904762
21,352802.052632
22,360236.894737
23,393030.05
24,395397.3
25,383117.52381
26,385966.857143
27,414499.473684
28,389723.666667
29,391258.142857
30,392533.380952
31,464417.25
32,395069.52381
33,396457.904762
34,398227.285714
35,399803.047619
36,401754.190476
37,416850.277778
38,431999.210526
39,424813.6
40,412702.157895
41,409919.857143
42,418721.421053
43,420852.210526
44,442468.105263
45,445000.421053
46,438509.1
47,456658.105263
48,428195.105263
49,411502.85
50,447177.95
51,431098.904762
52,448704.263158
53,436284.0
54,436898.210526
55,461931.25
56,444674.952381
57,433218.7
58,449803.666667
59,500801.111111
60,515334.647059
61,463628.0
62,464150.315789
63,444191.65
64,482484.75
65,484743.85
66,468032.857143
67,469752.857143
68,471655.238095
69,494070.55
70,479010.095238
71,504962.210526
72,487214.3
73,485517.190476
74,506374.35
75,489386.333333
76,491011.428571
77,487123.25
78,465877.111111
79,490994.15
80,499271.142857
81,517276.2
82,505108.0
83,507766.571429
84,513014.7
85,515546.95
86,518055.052632
87,491665.789474
88,494185.315789
89,519145.25
90,569222.666667
91,547388.210526
92,532195.904762
93,528006.15
94,509180.789474
95,537242.421053
96,565130.277778
97,545535.428571
98,534991.263158
99,539888.1
100,552566.789474
101,542825.6
102,553313.952381
103,554697.809524
104,556392.238095
105,558042.0
106,559587.571429
107,577996.9
108,549661.95
109,556097.65
110,566485.190476
111,568241.619048
112,570200.47619
113,561569.85
114,552127.105263
115,582234.842105
116,566628.85
117,573390.45
118,572830.4
119,576037.15
120,612631.388889
121,597000.35
122,593569.526316
123,602481.142857
124,606046.095238
125,596646.85
126,613842.142857
127,609296.052632
128,614406.35
129,626357.666667
130,617369.8
131,634525.761905
132,638493.857143
133,633386.5
134,640488.55
135,650027.095238
136,654700.428571
137,678380.95
138,639472.947368
139,667883.52381
140,671760.095238
141,675889.761905
142,679599.904762
143,682697.190476
144,685723.761905
145,688878.904762
146,684726.0
147,666921.833333
148,680194.052632
149,682751.210526
150,704226.3
151,715290.0
152,699906.9
153,705770.75
154,696641.789474
155,732258.65
156,718115.095238
157,720130.142857
158,721374.619048
159,721606.904762
160,721150.0
161,720246.857143
162,712481.4
163,710859.35
164,716179.47619
165,714629.095238
166,713245.666667
167,726409.8
168,719172.5
169,698278.75
170,704647.809524
171,702002.714286
172,686683.25
173,715474.45
174,712362.45
175,735920.631579
176,686292.428571
177,683076.428571
178,667704.65
179,663382.05
180,671605.095238
181,688609.277778
182,699855.157895
183,685894.526316
184,639191.0
185,672608.65
186,670709.388889
187,661263.0
188,630375.666667
189,624565.142857
190,618799.190476
191,628780.55
192,605159.095238
193,598142.857143
194,579760.55
195,583519.952381
196,597599.2
197,527613.578947
198,542389.75
199,535530.95
200,545184.052632
201,560180.8
202,553437.25
203,522222.8
204,522373.142857
205,501730.842105
206,508080.571429
207,500782.52381
208,493260.047619
209,455505.052632
210,499458.75
211,448411.25
212,481876.55
213,478487.65
214,415831.421053
215,445589.857143
216,439138.571429
217,442088.736842
218,432942.052632
219,450813.833333
220,417631.944444
221,415615.315789
222,409824.263158
223,367304.789474
224,380260.055556
225,389047.809524
226,384296.761905
227,373065.3
228,375691.619048
229,388747.0
230,361458.75
231,363572.571429
232,359672.52381
233,365504.894737
234,327292.35
235,316349.894737
236,339483.75
237,317092.35
238,328799.0
239,335082.619048
240,325116.157895
241,329332.380952
242,341260.2
243,350428.611111
244,322189.761905
245,326271.166667
246,318684.285714
247,328078.947368
248,330065.95
249,314228.952381
250,312881.809524
251,311382.285714
252,316379.333333
253,302943.947368
254,315567.0
255,275014.5
256,346567.555556
257,307597.444444
258,287890.444444
259,286714.611111
260,323091.277778
261,311685.15
262,310452.65
263,309221.6
264,308002.25
265,270501.8
266,250797.631579
267,269932.35
268,299767.263158
269,289103.857143
270,300832.85
271,313698.473684
272,277083.842105
273,291043.263158
274,275887.631579
275,284219.666667
276,283820.142857
277,278206.684211
278,282850.333333
279,282390.380952
280,281855.52381
281,281326.428571
282,288956.15
283,287379.315789
284,251584.157895
285,273177.25
286,272572.35
287,274071.55
288,278713.142857
289,278516.714286
290,278253.47619
