day_of_year,reservoir_storage
1,103870.047619
2,103865.809524
3,103948.904762
4,104058.142857
5,104191.904762
6,104310.333333
7,104548.809524
8,104725.52381
9,104857.285714
10,104927.047619
11,104992.0
12,105053.52381
13,105057.571429
14,105081.428571
15,105061.952381
16,105074.333333
17,105117.47619
18,105143.285714
19,105124.428571
20,105119.285714
21,105059.857143
22,104981.52381
23,104903.904762
24,104813.761905
25,104771.380952
26,104673.809524
27,104629.428571
28,104606.380952
29,104484.52381
30,104423.142857
31,104360.333333
32,104322.333333
33,104310.619048
34,104378.52381
35,104364.285714
36,104455.380952
37,104608.428571
38,104683.142857
39,104812.380952
40,104899.666667
41,104936.714286
42,105050.761905
43,105089.238095
44,105152.47619
45,105180.619048
46,105193.428571
47,105196.714286
48,105224.761905
49,105287.047619
50,105421.47619
51,105432.238095
52,105538.619048
53,105593.714286
54,105635.52381
55,105593.428571
56,105655.285714
57,105821.380952
58,105888.619048
59,106041.190476
60,106134.809524
61,106230.714286
62,106350.428571
63,106429.857143
64,106465.0
65,106625.0
66,106758.190476
67,106861.952381
68,106875.952381
69,106872.857143
70,106863.714286
71,106834.333333
72,106838.190476
73,106904.857143
74,106974.714286
75,107073.904762
76,107097.857143
77,107119.285714
78,107276.047619
79,107381.0
80,107535.952381
81,107574.285714
82,107676.857143
83,107768.142857
84,107881.190476
85,107927.571429
86,108047.047619
87,108064.571429
88,108119.809524
89,108155.095238
90,108231.571429
91,108204.380952
92,108214.190476
93,108212.380952
94,108228.904762
95,108195.857143
96,108161.904762
97,108159.380952
98,108193.380952
99,108181.809524
100,108167.142857
101,108189.857143
102,108206.809524
103,108186.095238
104,108133.285714
105,108096.47619
106,108073.571429
107,108019.857143
108,107999.238095
109,107923.809524
110,107917.619048
111,107880.571429
112,107918.857143
113,107904.238095
114,107950.047619
115,107924.666667
116,107945.0
117,107954.52381
118,107932.380952
119,107913.904762
120,107916.52381
121,107914.380952
122,107911.142857
123,107905.047619
124,107905.190476
125,107926.761905
126,107901.428571
127,107913.904762
128,107885.666667
129,107933.095238
130,107914.190476
131,107859.380952
132,107837.904762
133,107829.904762
134,107796.571429
135,107769.857143
136,107761.47619
137,107768.47619
138,107767.238095
139,107763.428571
140,107834.428571
141,107688.380952
142,107658.52381
143,107621.142857
144,107713.047619
145,107717.047619
146,107746.285714
147,107767.952381
148,107767.52381
149,107701.238095
150,107669.714286
151,107651.428571
152,107626.428571
153,107593.619048
154,107581.333333
155,107581.428571
156,107576.904762
157,107447.904762
158,107702.904762
159,107528.142857
160,107558.571429
161,107534.047619
162,107508.142857
163,107534.761905
164,107609.380952
165,107650.428571
166,107677.952381
167,107738.571429
168,107769.428571
169,107802.238095
170,107776.238095
171,107728.857143
172,107709.095238
173,107677.285714
174,107672.380952
175,107652.666667
176,107635.47619
177,107623.666667
178,107646.761905
179,107622.952381
180,107610.714286
181,107628.333333
182,107615.666667
183,107596.809524
184,107570.666667
185,107552.238095
186,107543.095238
187,107519.952381
188,107500.714286
189,107483.666667
190,107472.52381
191,107446.52381
192,107428.619048
193,107436.904762
194,107388.571429
195,107329.047619
196,107364.190476
197,107316.333333
198,107295.761905
199,107294.333333
200,107308.0
201,107301.047619
202,107295.0
203,107270.238095
204,107281.952381
205,107211.285714
206,107205.857143
207,107238.619048
208,107236.142857
209,107203.714286
210,107268.52381
211,107255.238095
212,107261.0
213,107214.904762
214,107197.142857
215,107150.333333
216,107167.047619
217,107168.238095
218,107155.095238
219,107138.809524
220,107149.571429
221,107118.857143
222,107058.142857
223,107026.333333
224,106970.428571
225,106920.0
226,106821.857143
227,106757.952381
228,106616.380952
229,106514.142857
230,106329.904762
231,106247.904762
232,106021.333333
233,106194.285714
234,106106.428571
235,106027.904762
236,105930.714286
237,105836.952381
238,105780.571429
239,105679.095238
240,105579.571429
241,105503.095238
242,105446.285714
243,105400.380952
244,105336.619048
245,105266.47619
246,105193.47619
247,105097.714286
248,104930.047619
249,104848.428571
250,104764.47619
251,104672.809524
252,104575.761905
253,104468.809524
254,104427.619048
255,104262.52381
