day_of_year,reservoir_storage
1,1358666.0
2,1328966.19048
3,1338727.04762
4,1350269.61905
5,1360046.19048
6,1369747.85714
7,1380280.33333
8,1389316.95238
9,1399078.04762
10,1408525.52381
11,1441079.4
12,1427824.04762
13,1437882.7619
14,1448831.95238
15,1456025.71429
16,1487122.25
17,1473909.7619
18,1481659.09524
19,1488579.95238
20,1495315.85714
21,1502981.7619
22,1510623.71429
23,1519108.90476
24,1527004.14286
25,1534699.38095
26,1565168.9
27,1551838.09524
28,1536225.4
29,1566285.85714
30,1573559.85714
31,1580288.09524
32,1634914.0
33,1641159.7
34,1647007.6
35,1604806.7619
36,1659136.15
37,1663758.05
38,1669712.15
39,1675000.5
40,1679403.6
41,1705593.36842
42,1691618.5
43,1696719.25
44,1702921.7
45,1662985.05
46,1714065.65
47,1719871.4
48,1725338.05
49,1680989.47619
50,1737153.65
51,1755159.36842
52,1736146.84211
53,1782937.26316
54,1763295.15
55,9958067.65
56,9534550.66667
57,1779732.65
58,1785009.05
59,1790200.6
60,1815241.0
61,1798921.55
62,1803724.1
63,1757163.7619
64,1814077.35
65,1819152.6
66,1824766.75
67,1845848.84211
68,1834398.55
69,1839063.05
70,1795435.95238
71,1861307.42105
72,1864988.68421
73,1869209.26316
74,1872173.10526
75,10538339.15
76,10570556.1
77,1825379.61905
78,1828430.09524
79,1874732.0
80,1878449.9
81,1880236.15
82,10793110.1
83,10824090.25
84,1847301.85714
85,1886739.4
86,1889430.9
87,1800890.95
88,1893458.2
89,11460614.7368
90,10998088.3
91,10584015.9524
92,1897051.25
93,1904037.10526
94,1898757.0
95,1893181.94737
96,11180645.05
97,1901075.0
98,1874670.7619
99,1900599.6
100,1900079.0
101,1899371.25
102,1898395.85
103,1897887.5
104,1896716.1
105,1874417.61905
106,1891009.4
107,1886739.2
108,1881661.3
109,1876235.35
110,1871451.4
111,1865125.0
112,1842369.47619
113,1852308.4
114,1846599.65
115,1840065.05
116,1832948.8
117,1826159.1
118,1817482.8
119,1796698.80952
120,1801089.0
121,1792817.4
122,1783928.8
123,1775281.0
124,1766077.7
125,1755927.85
126,1735756.19048
127,1735638.55
128,1729577.31579
